,CompanyName,number_of_permits_applied_for,PlanReviewAverageDays
129,Aquarama Pools Inc.,86.0,133.61627906976744
130,ADVANCED MULTI SIGN CORP,86.0,107.74418604651163
131,FOREVER SIGNS INC,85.0,67.6
132,ENVIROTECH ROOFING GROUP  INC.,85.0,71.08235294117647
133,WHR HOLDINGS LLC  DBA WILKINSON HIRISE,84.0,24.976190476190474
134,ALL AROUND PLUMBING Enterprises Inc.,84.0,143.46428571428572
135,AA FIRE EQUIPMENT CO. INC,83.0,55.2289156626506
136,A&L PLUMBING SPECIALIST LLC,83.0,286.5421686746988
137,Honshy Electric Company Inc.,82.0,99.20731707317073
138,Rodel Fire Protection Inc,82.0,8.597560975609756
139,G & L Plumbing Service Inc,82.0,348.9390243902439
140,REBUILD MIAMI  LLC,81.0,310.4074074074074
141,Top Seal Services Corp,80.0,32.4875
142,THUNDER ELECTRICAL CONTRACTORS INC,80.0,122.2375
143,GM ELECTRICAL CONTRACTORS INC,79.0,152.64556962025316
144,Saul Signs Master  Inc.,79.0,78.55696202531645
145,All Quality Electrical Services Inc.,79.0,168.08860759493672
146,READY WINDOW SALES & SERVICE CORP,78.0,44.82051282051282
147,INNOVATIVE SOLUTIONS CONSTRUCTION INC.,78.0,113.35897435897436
148,ALL PHASE ELECTRIC CORP,78.0,197.76923076923077
149,A & C PORTELA PLUMBING INC,78.0,326.84615384615387
150,ALL ABOUT FENCING CONTRACTOR INC DBA FENCES FOR LESS,78.0,58.41025641025641
151,CROWN DESIGN BUILDERS CORP.,78.0,30.58974358974359
152,BY HIS GRACE CONSTRUCTION INC,77.0,219.54545454545453
153,ESSIG POOLS INC,77.0,103.05194805194805
154,CONTRACTORS 911 LLC,76.0,294.9868421052632
155,Alco Windows & Doors LLC,76.0,19.513157894736842
156,JYP SERVICE & REPAIRS  CORP,76.0,233.5
157,ADONAI DESIGN & CONSTRUCTION  INC.,75.0,278.1333333333333
158,CAYAT LLC,75.0,339.62666666666667
159,O B Construction Group Inc,75.0,139.92
160,S & L FIRE PROTECTION dba SCK ENTERPRISES  INC,74.0,21.716216216216218
161,WESTLAND PLUMBING CORP,74.0,358.2567567567568
162,ATLANTIC MIAMI BOATLIFTS INC,73.0,229.82191780821918
163,AMERICAN ROOFING SOLUTION dba CONSTRUCTION ON DEMAND,73.0,53.3013698630137
164,AA Masters Mechanical Air Moving & Engineering Systems Corp,73.0,280.67123287671234
165,ROAD RUNNER ELECTRIC INC,73.0,90.36986301369863
166,RALUNA SOLAR ENERGY SOLUTIONS INC,72.0,30.930555555555557
167,UNIVERSAL GROUP INC,72.0,107.86111111111111
168,MR GLASS DOORS & WINDOWS INC,72.0,58.416666666666664
169,M Romeros Roofing & Inspections Inc,72.0,26.48611111111111
170,ELECTRICAL SERVICES JC INC,72.0,112.19444444444444
171,National Pool Design LLC,71.0,134.6056338028169
172,STATEWIDE ELECTRICAL CONTRACTORS INC,71.0,73.43661971830986
173,CODA ROOFING INC,71.0,25.591549295774648
174,SDA Construction Corp,70.0,57.44285714285714
175,GOLDIN SOLAR LLC,70.0,31.97142857142857
176,NP ELECTRIC CORP,69.0,159.8695652173913
177,ALL COAST BUILDERS LLC,69.0,356.6811594202899
178,A.P.A. PLUMBING CORPORATION,69.0,313.59420289855075
179,Custom Call Centers Inc.,69.0,4.6231884057971016
180,Charles E Culpepper Jr,69.0,249.2173913043478
181,Walter Plumbing Corp,69.0,369.5507246376812
182,Dial Plus Plumbing Corp,69.0,207.92753623188406
183,Mega Electric Inc,68.0,126.36764705882354
184,IBEX TECH CORPORATION,68.0,57.529411764705884
185,AMAZING SIGNS & SERVICES  LLC,68.0,109.16176470588235
186,GALAXY CONSTRUCTION INC.,68.0,210.76470588235293
187,AP WELDING & STEEL MANUFACTURER. CORP.,68.0,229.5441176470588
188,Blue Wave Communications LLC,68.0,9.0
189,Fire Alarm Systems and Security Inc,68.0,31.83823529411765
190,Infinite Windows LLC & Infinite Builders LLC,68.0,37.529411764705884
191,TEST AND BALANCE AIR CONDITIONING CORP.,67.0,449.3134328358209
192,GOFF COMMUNICATIONS INC,67.0,115.23880597014926
193,ROYAL FLUSH LLC,67.0,3.8059701492537314
194,A M Julien Contracting Inc,67.0,70.98507462686567
195,Ximeno Plumbing Inc.,67.0,413.7313432835821
196,MGC SYSTEMS CORP DBA MIRCOM ENGINEERED SYSTEMS,67.0,37.08955223880597
197,CARIBE S ELECTRIC  INC,67.0,157.67164179104478
198,TI Contractors LLC,67.0,191.43283582089552
199,COOL BREEZE AIR CONDITIONING CORP,67.0,15.17910447761194
200,Caribe Electrical Contractor  Inc.,66.0,292.5151515151515
201,AV ELECTRICAL SERVICE INC,66.0,189.46969696969697
202,DEL SOL ROOFING ENTERPRISE INC,66.0,20.5
203,Evolution electrical Contractors Inc,66.0,183.9090909090909
204,ABW ELECTRIC INC  DBA A BETTER WAY ELECTRIC,66.0,124.81818181818181
205,MAAFA Engineering Corp,65.0,120.44615384615385
206,IBS CONSTRUCTION GROUP LLC,65.0,102.15384615384616
207,DADE CONTRACTING  INC,65.0,27.276923076923076
208,The BG Group LLC,65.0,105.63076923076923
209,ATEXI SERVICES CORP.,65.0,168.6769230769231
210,Z ROOFING & WATERPROOFING INC,65.0,33.52307692307692
211,Electraserve Inc,65.0,101.98461538461538
212,Secure Windows & Doors Inc,65.0,24.50769230769231
213,PAIZ CONSTRUCTION AND ROOFING SERVICE  CORP.,65.0,23.93846153846154
214,MITCH JOSEPH INC,65.0,251.98461538461538
215,GLOGOZ CONSTRUCTION COMPANY,64.0,215.0625
216,Demolition masters Inc.,64.0,49.53125
217,Complex Circuit Electrical Services  INC.,64.0,190.640625
218,Mar B Plumbing Corp.,64.0,186.03125
219,Moss & Associates LLC,64.0,96.609375
220,American Power Electric Corp,63.0,183.3015873015873
221,FERREY ELECTRIC CORP,63.0,96.11111111111111
222,Signs Factory USA Inc,62.0,108.12903225806451
223,TriCity Electric Co. Inc.,62.0,78.62903225806451
224,ALL FLORIDA CONSTRUCTION COMPANY,62.0,32.693548387096776
225,Carly Electrical Service Inc.,62.0,160.91935483870967
226,Tempros Air Conditioning & Heating Inc,62.0,0.9838709677419355
227,SOUTHEAST MARINE CONSTRUCTION  INC.,62.0,224.33870967741936
228,HD SERVICE DIVISION  INC,62.0,32.62903225806452
229,SPARK ELECTRIC INC,61.0,164.70491803278688
230,Quest Construction Engineering  Inc.,61.0,209.50819672131146
231,INTERAKTIVO SOLUTIONS INC,61.0,136.88524590163934
232,FIRE LINK TECHNOLOGIES INC.,61.0,35.950819672131146
233,BDI CONSTRUCTION COMPANY,61.0,192.65573770491804
234,Isaacs Roofing,61.0,34.34426229508197
235,BC ARVIZU CONSTRUCTION INC,61.0,232.86885245901638
236,ROCKET PLUMBING CORP,60.0,565.9166666666666
237,MCKENZIE CONSTRUCTION LLC,60.0,152.46666666666667
238,Million Air Conditioning Corp.,60.0,426.3
239,JA GLOBAL SERVICES GROUP INC,59.0,100.64406779661017
240,Airtech Air Conditioning,59.0,123.16949152542372
241,ADVANCED COMMUNICATIONS TECHNOLOGY  LLC,59.0,61.067796610169495
242,Convergint Technologies LLC,58.0,87.48275862068965
243,AMERICAN FIRE SPRINKLER SERVICES,58.0,18.43103448275862
244,ARMANDO PENA PLUMBING SERVICES,58.0,308.2413793103448
245,SAB Contracting Services Inc,58.0,102.5
246,Metro Dade Security Systems,58.0,78.98275862068965
247,York Electric Corp,57.0,179.82456140350877
248,BERNAL CONSTRUCTION CORP,57.0,230.17543859649123
249,Alfresco Air Inc.,57.0,2.0701754385964914
250,Security Fire Prevention Inc,57.0,79.0701754385965
251,HITECH ELECTRIC & FIRE CORP,57.0,204.57894736842104
252,CALULACO CONSTRUCTION INC,57.0,195.2982456140351
253,ETech Electric Inc,57.0,124.73684210526316
254,ABA ELECTRIC CORP,57.0,134.0
255,Ampstrong Electric Inc.,56.0,151.23214285714286
256,ERICSSON INC.,56.0,37.25
257,Dade County Electrical Contractors LLC,56.0,128.44642857142858
258,Amador Roofing Corp.,56.0,31.410714285714285
259,RED DOOR CONSTRUCTION LLC,56.0,133.05357142857142
260,EPOCA CORP,56.0,297.2142857142857
261,E & M Plumbing Inc.,56.0,270.6607142857143
262,DVG BUILDERS INC,55.0,84.8
263,ELITE INNOVATION CONSTRUCTION,55.0,59.27272727272727
264,ESTATE GENERAL CONTRACTORS,55.0,99.89090909090909
265,PUENTE ROOFING CORP,55.0,28.327272727272728
266,A & P AIR CONDITIONING CORPORATION,55.0,254.76363636363635
267,EDD HELMS AIR CONDITIONING INC,55.0,7.763636363636364
268,DOCK & MARINE CONSTRUCTION INC,55.0,266.74545454545455
269,EXECUTIVE CONSTRUCTION GROUP  Inc.,54.0,74.37037037037037
270,ALL JER CONSTRUCTION CORP,54.0,162.83333333333334
271,AMICON CONSTRUCTION SERVICES LLC,54.0,114.94444444444444
272,Calypso Pool Company,54.0,111.88888888888889
273,M.K. DEVELOPERS  INC,54.0,185.07407407407408
274,GR Electrical Services Inc,54.0,134.85185185185185
275,E & D ROOFING,54.0,16.314814814814813
276,Summers Fire Sprinklers Inc.,54.0,15.092592592592593
277,ALES GROUP  INC,54.0,172.87037037037038
278,HOMESTEAD REPAIRS AND SERVICES INC.,53.0,208.18867924528303
279,ELPIDIO MOREJON INC.,53.0,94.67924528301887
280,WSE FIRE & SECURITY SYSTEM,53.0,30.69811320754717
281,ANDREW PALMER ROOFING INC,53.0,21.0
282,Extreme Roofing Inc.,53.0,30.754716981132077
283,Rooftecs of Florida LLC,53.0,23.566037735849058
284,LSJ CORP DBA GRAPHPLEX SIGNS,53.0,100.73584905660377
285,United Fire Communication,53.0,17.830188679245282
286,ALL ABOUT CONSTRUCTION INC,52.0,108.5
287,ESTRELLA PLUMBING SERVICES,52.0,248.17307692307693
288,G & A PLUMBING INC,52.0,277.86538461538464
289,Desmar PC Inc,52.0,402.1923076923077
290,ADR PLUMBING CORP,52.0,249.09615384615384
291,ALISAEZ AIR CONDITIONING INC,52.0,300.13461538461536
292,Elkis Construction Inc.,52.0,27.48076923076923
293,CHI ALARMS,52.0,57.44230769230769
294,Unlimited Electrical Tech Inc.,52.0,148.40384615384616
295,PLAZA CONSTRUCTION GROUP FLORIDA  LLC,51.0,287.80392156862746
296,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,51.0,331.62745098039215
297,KAST CONSTRUCTION COMPANY LLC,51.0,125.82352941176471
298,Marman Construction Inc.,51.0,83.62745098039215
299,ALL AROUND FIRE PROTECTION LLC,51.0,31.333333333333332
300,AA Masters Construction Development And Engineering Group Corp,51.0,46.8235294117647
301,Century Fire  Inc.,51.0,51.09803921568628
302,FLORIDA POOLPATIO CORP,51.0,88.45098039215686
303,SKYCON GROUP LLC,50.0,91.54
304,SELENIS TECHNOLOGIES LLC,50.0,108.72
305,RAFLO CONSTRUCTION GROUP LLC,50.0,79.84
306,BLF ELECTRIC INC,50.0,139.76
307,NAGELBUSH MECHANICAL INC,50.0,382.88
308,DADE ELECTRIC LLC,50.0,215.2
309,DYNALECTRIC COMPANY,50.0,173.54
310,AAA on Time Electric Inc.,50.0,168.64
311,Debonair Mechanical Inc,50.0,37.2
312,Camaguey Electrical Services Corp.,50.0,151.0
313,FINETECH  INC.,50.0,196.32
314,ALTERNATIVE SIGN GROUP,49.0,72.12244897959184
315,Alex Electric Service Inc,49.0,24.06122448979592
316,ATLAS SIGNS HOLDINGS INC,49.0,65.14285714285714
317,CABALLERO PLUMBING INC,49.0,433.8979591836735
318,A & P ELECTRICAL CONTRACTORS INC,49.0,231.9387755102041
319,ESTRELLA PLUMBING INC,49.0,316.265306122449
320,P&B ELECTRICAL CORP,49.0,21.244897959183675
321,Mister Sparky,49.0,25.897959183673468
322,SHINE ELECTRICAL ENGINEERING,49.0,81.3265306122449
323,AURORA PLUMBING CORPORATION,49.0,359.6326530612245
324,Royal Plumbing Corp,49.0,250.9591836734694
325,Sybaris Interiors Inc,49.0,13.040816326530612
326,TECTA AMERICA SOUTH FLORIDA,49.0,72.85714285714286
327,A & M Hurricane Protection LLC,49.0,14.387755102040817
328,Precision Power and Control Corp,48.0,93.14583333333333
329,KAUFMAN LYNN CONSTRUCTION  INC.,48.0,232.625
330,FOUR BLR DOORS CORP,48.0,99.5
331,TRUE POWER ELECTRICAL CONTRACTOR INC,48.0,80.5625
332,GREEN SOLUTIONS SOLAR & RENOVATIONS LLC,48.0,13.104166666666666
333,HCD DEVELOPERS  LLC,48.0,109.45833333333333
334,KP Roofing Masters LLC,48.0,18.791666666666668
335,DO YOU NEED A GOOD PLUMBER  INC,48.0,166.6875
336,AA GLASS AND WINDOWS (MIRRORS),47.0,19.76595744680851
337,HK CONTRACTORS LLC,47.0,19.872340425531913
338,Harmison Electric Group Inc.,47.0,102.06382978723404
339,EF Design & Construction Inc,47.0,131.82978723404256
340,FOCCO CONSTRUCTION & DESIGN CORP,47.0,84.34042553191489
341,BRAVO FIRE PROTECTION SYSTEM CORP,47.0,21.170212765957448
342,ON TIME ROOFING CORP,47.0,39.638297872340424
343,One Stop Pools & Construction Inc.,47.0,61.8936170212766
344,CAPOTE PLUMBING CORP,47.0,269.40425531914894
345,James Philip Drago Certified Contractor Inc,46.0,12.217391304347826
346,BEST ROOFING SERVICES LLC,46.0,34.71739130434783
347,EVOLUTION ELECTRICAL CONTRACTOR GROUP LLC,46.0,147.41304347826087
348,BRV CONSTRUCTION SERVICES INC,46.0,143.2391304347826
349,ALL FIRE SERVICES  INC,46.0,25.02173913043478
350,MAJACO ROOFING CONTRACTOR  LLC,46.0,36.65217391304348
351,OVI ELECTRICAL CONTRACTORS  INC.,46.0,80.30434782608695
352,Jaffer Well Drilling,46.0,82.47826086956522
353,Miami Mechanical Contractors Inc.,46.0,518.9565217391304
354,CAILIS MECHANICAL CORP.,46.0,266.2608695652174
355,Brodson Construction Inc.,46.0,193.8913043478261
356,EMERALD CONSTRUCTION CORP.,45.0,98.4
357,PARAMOUNT SERVICE & MAINTENANCE CORP,45.0,194.35555555555555
358,SHAWMUT DESIGN AND CONSTRUCTION,45.0,115.46666666666667
359,PROPERTY SERVICES WARRANTY  INC.,45.0,258.46666666666664
360,ALPHA FIRE SPRINKLER CORP,45.0,15.066666666666666
361,JOHNSONS GROUP PAINTING INC,45.0,8.333333333333334
362,SERVICE EXPERTS LLC,45.0,2.1555555555555554
363,DUKES CONTRACTORS LLC,45.0,26.244444444444444
364,FARADAY ELECTRICAL CONTRACTOR INC.,45.0,183.22222222222223
365,Liberty Roofing Group Inc.,45.0,43.37777777777778
366,GREAT DANE PETROLEM CONTRACTORS INC,45.0,134.62222222222223
367,Air South Mechanical Inc,44.0,246.0681818181818
368,STATEWIDE ELECTRIC & ENVIRONMENTAL SOLUTIONS  LLC,44.0,81.93181818181819
369,All Florida Electrical Contractors Inc.,44.0,22.022727272727273
370,Lowes Home Center,44.0,21.863636363636363
371,NR Group 3 Contractors Inc.,44.0,288.02272727272725
372,Dolphin Carpet and Tile,44.0,14.704545454545455
373,FLORIDA LIFTS  LLC,44.0,17.931818181818183
374,ACTIVE FIRE SPRINKLERS  INC.,44.0,43.09090909090909
375,CIASA ENGINEERING USA  INC DBA MAT CONSTRUCTION,44.0,163.6818181818182
376,GARY BERNHARDT CONSTRUCTION INC,44.0,177.11363636363637
377,PAU PLUMBING CONTRACTOR INC,44.0,223.70454545454547
378,ADT COMMERCiAL LLC,44.0,25.636363636363637
379,LLERANDI QUALITY POOLS INC,44.0,134.29545454545453
380,NAVARRO PLUMBING & MECHANICAL CO.,44.0,320.5681818181818
381,Bostic Steel Inc.,44.0,55.04545454545455
382,BUILT TO LAST CONSTRUCTION SERVICES CORP,44.0,36.34090909090909
383,SWIFT ROOFING CONTRACTOR  INC.,44.0,25.34090909090909
384,TOTAL PANEL OF BROWARD INC. DBA SPACIO DESIGN BUILD,44.0,114.61363636363636
385,Prostar Electrical Contractor Inc.,44.0,171.22727272727272
386,SAMA CONSTRUCTION  INC,43.0,82.37209302325581
387,A & J Roofing Corp,43.0,23.11627906976744
388,Rothstar Construction,43.0,73.90697674418605
389,Florida E  Z Remodeling   Inc.,43.0,63.81395348837209
390,A R ELECTRIC SERVICES INC,43.0,161.48837209302326
391,U S Installation Group Inc.,43.0,10.883720930232558
392,MEISNER ELECTRIC INC,43.0,139.67441860465115
393,Poole & Kent Co of Florida,43.0,291.5581395348837
394,CITY FIRE INC,43.0,43.23255813953488
395,GENERAL CONSTRUCTION MASTER CORP,43.0,310.27906976744185
396,CONWELL & ASSOCIATES CONSULTING COMPANY,43.0,201.0
397,PERMONT CORP dba GARP,43.0,120.18604651162791
398,Rodriguez Henry Electrical Contractor,43.0,223.1860465116279
399,Pro Form Roofing Co,43.0,32.58139534883721
400,APPEARANCE BUILDERS LLC,43.0,61.25581395348837
401,Metro RF Services  INC.,43.0,77.46511627906976
402,ESPIRITU SANTO DEVELOPMENT & CONSTRUCTION GROUP INC,43.0,63.69767441860465
403,USA HOME IMPROVEMENT,43.0,23.023255813953487
404,UAG CONSTRUCTION  LLC,42.0,271.92857142857144
405,SHORES DEVELOPMENT INC,42.0,27.047619047619047
406,ALLIED ROOFING IND. INC.,42.0,37.404761904761905
407,Goro Construction Inc.,42.0,88.88095238095238
408,AR AMERICAN ROOFING,42.0,18.071428571428573
409,RCC Associates Inc,42.0,142.5952380952381
410,Alfonso Jorge J,42.0,216.11904761904762
411,OLYMPIA PLUMBING CORP,41.0,422.8536585365854
412,RC CONSTRUCTION SERVICES INC.,41.0,121.29268292682927
413,J & J TELECOM & ELECTRIC,41.0,89.34146341463415
414,PROFESSIONAL SIGNS INC.,41.0,76.09756097560975
415,ICON IDENTITY SOLUTIONS INC DBA STRATUS,41.0,200.0731707317073
416,High Point Roofing Corp,41.0,33.48780487804878
417,VARMO CONSTRUCTION  LLC,41.0,72.70731707317073
418,TYCO INTEGRATED SECURITY LLC DBA JOHNSON CONTROLS SECURITY SOLUTIONS LLC,41.0,83.58536585365853
419,SPCU MAINTENANCE REPAIR & CONSTRUCTION CORP,41.0,43.8780487804878
420,A1 Duran Roofing Inc.,41.0,29.951219512195124
421,PONS ESTIMATING Construction SERVICES,41.0,293.2926829268293
422,LA CASA DE LAS PISCINAS INC,40.0,144.8
423,EDWARD ROJAS PLUMBING CORP,40.0,308.0
424,GENERAL CONSTRUCTION CONSULTANTS OF SOUTH FLORIDA,40.0,304.05
425,CONTEMPORARY CONSTRUCTION GROUP INC,40.0,180.2
426,MV CONSTRUCTION & DEVELOPMENT GROUP INC,40.0,98.8
427,MACHIN SIGNS INC,40.0,99.3
428,STAGE DIGITAL ADVISORS,40.0,114.875
429,Professional Plumbing Corporation,40.0,315.625
430,CONINMAQ L.L.C.,40.0,251.225
431,QUALITY COOL AIR CONDITIONING INC,40.0,76.225
432,Brothers Two Windows & Screen Inc. d.b.a Hurricane Window & Screen,40.0,39.925
433,Advanced Hood Fire Systems  LLC,40.0,57.65
434,QUAMEC CORP,40.0,104.85
435,M.D.R. Plumbing & Fire LLC,39.0,245.92307692307693
436,Regency Maintenance & Electric Inc.,39.0,205.89743589743588
437,RAMI CONSTRUCTION GROUP INC,39.0,255.46153846153845
438,NEWSTART CONSTRUCTION GROUP  LLC,39.0,319.3333333333333
439,MILLER ELECTRIC COMPANY,39.0,86.56410256410257
440,West Kendall Electric Inc,39.0,195.56410256410257
441,SS POWER & LIGHT ELECTRIC INC.,39.0,230.12820512820514
442,CORDES SERVICE CORP,39.0,168.97435897435898
